key,value,definition
bunker_type,gun_emplacement,tipo búnker	=	emplazamiento de armas
bunker_type,hardened_aircraft_shelter,tipo búnker	=	refugio reforzado para aviones
bunker_type,munitions,tipo búnker	=	pertrechos
bunker_type,personnel_shelter,tipo búnker	=	refugio de personal
bunker_type,pillbox,tipo_búnker	=	fortín
bunker_type,technical,tipo búnker	=	técnico
bus,designated,autobús	=	designado
bus,minibus,autobús	=	microbús
bus,no,autobús	=	no
bus,school,autobús	=	escuela
bus,unofficial,autobús	=	no oficial
bus,urban,autobús	=	urbano
bus_bay,right,bahía_de autobús=cables
busbar,flexible,barra colectora	=	flexible
busbar,rigid,barra colectora	=	rígido
busway,lane,vía de autobús	=	carril
busway,opposite_lane,vía de autobús	=	carril opuesto
busway:left,lane,vía de autobús: izquierda	=	carril
busway:right,lane,vía de autobús: derecha	=	carril
button_operated,no,botón_operado	=	no
by_night,only,por la noche	=	solo
cables,1,cabos	=	*
cables,2,derechos=2
cables,3,cabos	=	*
cables,4,cables=4
cables,6,cabos	=	*
cadet,*,cadete	=	*
cadet,ambulance,cadete	=	ambulancia
cadet,emergency_services,cadete	=	servicios de emergencia
cadet,fire,cadete	=	fuego
cadet,lifeguard,cadete	=	Salvavidas
cadet,military,cadete	=	militar
cadet,police,cadete	=	policía
cafe,time_cafe,cafetería	=	café del tiempo
cafe,time-cafe,cafetería	=	tiempo-cafe
cai_scale,E,escala_cai	=	mi
cai_scale,EAI,escala cai	=	IAE
cai_scale,EE,escala cai	=	EE.UU.
cai_scale,EEA,escala cai	=	EEE
cai_scale,EEA:D,escala cai	=	EEE:D
cai_scale,EEA:E,escala cai	=	EEE: ES
cai_scale,EEA:F,escala cai	=	EEE:F
cai_scale,EEA:MD,escala cai	=	EEE: MD
cai_scale,EEA:PD,escala cai	=	EEA:PD
cai_scale,T,escala cai	=	T
camera:mount,ceiling,cámara:cámara=de
camera:mount,pole,cámara: montaje	=	polo
camera:mount,street_lamp,techo del monte:cámara=de_lámpara
camera:mount,wall,cámara: montaje	=	pared
camera:type,dome,cámara: tipo	=	Hazme
camera:type,fixed,cámara: tipo	=	fijado
camera:type,panning,de calle de monte:tipo=panning
camp_site,basic,camping	=	básico
camp_site,camp_pitch,camping	=	campo de campamento
camp_site,deluxe,camping	=	de lujo
camp_site,reception,camping	=	recepción
camp_site,serviced,camping	=	atendido
camp_site,standard,camping	=	estándar
canal,qanat,canal	=	qanat
canoe,no,canoa=ninguna
canoe,portage,canoa	=	porteo
canvec:CODE,1760011,canvec:CÓDIGO	=	*
canvec:STRUCTYPE,None,canvec:TIPO DE ESTRUCTURA	=	Ninguna
capacity,1,capacidad	=	*
capacity,*,capacidad	=	*
capacity:disabled,0,capacidad: deshabilitado	=	*
capacity:disabled,1,capacidad: deshabilitado	=	*
capacity:disabled,2,capacidad: deshabilitado	=	*
capacity:disabled,3,capacidad:discapacitado=3
capacity:disabled,no,capacidad: deshabilitado	=	no
capacity:parent,no,capacidad: padre	=	no
capacity:persons,<50,capacidad:personas=<50
capacity:persons,100-250,capacidad:personas	=	*
capacity:persons,50-100,capacidad:personas	=	*
capacity:women,no,capacidad:mujeres	=	no
capital,4,capital	=	*
capital,5,capital	=	*
capital,6,capital	=	*
capital,8,capital	=	*
car,no,auto	=	no
car:parts,custom,piezas de automóvil	=	disfraz
car:repair,tuning,reparación de autos	=	Afinación
car:type,hgv,tipo de carro	=	vhg
caravan_site,motorhome_stopover,sitio de caravanas	=	escala de autocaravanas
caravans,no,caravanas=ningún
cargo,container,carga	=	envase
cargo,liquid_bulk,carga	=	líquido a granel
carpenter,joiner,carpintero	=	carpintero
carriage,no,carro	=	no
cash_in,no,dinero efectivo_en=ninguna
castle_type,castrum,tipo castillo	=	castro
castle_type,citadel,tipo castillo	=	ciudadela
castle_type,defensive,tipo castillo	=	defensivo
castle_type,fortress,tipo castillo	=	fortaleza
castle_type,kremlin,tipo castillo	=	kremlin
castle_type,manor,tipo castillo	=	señorío
castle_type,palace,tipo castillo	=	palacio
castle_type,shiro,tipo castillo	=	Shiro
castle_type,stately,tipo castillo	=	majestuoso
category,berkad,categoría=berkad
category,haffir,categoría=haffir
cave,grotto,cueva	=	gruta
cemetery,burial_forest,cementerio	=	bosque funerario
cemetery,cillín,cementerio	=	cillín
cemetery,grave,cementerio	=	tumba
cemetery,sector,cementerio	=	sector
cemetery,war_cemetery,cementerio	=	cementerio de guerra
centralkey,eurokey,llave central	=	llave europea
ceremonial_gate,torii,ceremonial_puerta=torii
chamber,fisherfolk,cámara	=	cofradía de pescadores
change:backward,no,cambio: al revés	=	no
change:forward,no,cambio:adelante	=	no
change:lanes,no|no,cambiar carriles	=	no|no
change:lanes:backward,no,cambiar:carriles:atrás	=	no
change:lanes:backward,not_left|yes,cambio:caminos:backward=no_dejado|sí
change:lanes:forward,no,cambiar:carriles:adelante	=	no
change:lanes:forward,not_left|yes,cambio:caminos:adelante=no_dejado|sí
changing_table,limited,mesa para cambiar pañales	=	limitado
changing_table,no,mesa para cambiar pañales	=	no
check_date,2021-07-01,comprobar Fecha	=	*
check_date,2023-04-26,cita_de control=2023-04-26
check_date,2025-04-24,cita_de control=2025-04-24
check_date,2024-11-6,cita_de control=2024-11-6
check_date,2024-11-7,cita_de control=2024-11-7
checkpoint,hiking,control	=	senderismo
church:type,filial,iglesia:tipo	=	filial
church:type,garrison,iglesia:tipo	=	guarnición
church:type,hospital,iglesia:tipo	=	hospital
church:type,monastic,iglesia:tipo	=	monástico
church:type,parish,iglesia: tipo	=	parroquia
church:type,rectoral,iglesia:tipo	=	rectoral
circuits,1,circuitos	=	*
circuits,2,circuitos	=	*
circumference,0.15,circunferencia	=	*
circumference,0.16,circunferencia	=	*
circumference,0.25,circunferencia	=	*
circumference,0.3,circunferencia	=	*
circumference,0.45,circunferencia	=	*
circumference,0.6,circunferencia=0.6
circumference,0.75,circunferencia=0.75
class:bicycle,-1,clase:bicicleta=-1
class:bicycle,1,clase:bicicleta=1
class:bicycle,2,clase:bicicleta=2
class:bicycle:mtb,1,clase:bicicleta:mtb	=	*
CLC:code,112,CLC: código	=	*
clc:code,312,clc:código	=	*
clc:code,313,clc:código	=	*
CLC:explanation,See http://wiki.openstreetmap.org/wiki/Romania_CLC_Import.,CLC:la explicación=Ve http://wiki.openstreetmap.org/wiki/romania_clc_import.
CLC:explanation,See_http://wiki.openstreetmap.org/wiki/Romania_CLC_Import.,CLC:explicación	=	Consulte_http://wiki.openstreetmap.org/wiki/Romania_CLC_Import.
CLC:year,2006,#Clc:año=2006
clc:year,2006,clc: año	=	*
climbing,route,escalada	=	ruta
climbing,route_bottom,ruta=de escalada_tiempo
clothes,fashion,ropa	=	Moda
clothes,luxury,ropa	=	lujo
clothes,motorcycle,ropa	=	motocicleta
clothes,sports,ropa	=	Deportes
clothes,swimwear,ropa	=	trajes de baño
clothes,underwear,ropa	=	ropa interior
clothes,uniforms,ropa	=	uniformes
clothes,unisex,ropa	=	unisexo
clothes,vintage,ropa	=	antiguo
clothes,wedding,ropa	=	boda
clothes,women,ropa	=	mujeres
clothes,women;men,ropa	=	mujeres Hombres
clothes,women;men;children,ropa	=	mujeres;hombres;niños
club,amateur_radio,club	=	radioaficionados
club,art,club	=	Arte
club,automobile,club	=	automóvil
club,bicycle,club	=	bicicleta
club,cadet,club	=	cadete
club,card_games,club	=	juegos de cartas
club,chess,club	=	ajedrez
club,computer,club	=	computadora
club,fan,club	=	ventilador
club,fishing,club	=	pescar
club,freemasonry,club	=	masonería
club,golf,club	=	golf
club,hunting,club	=	caza
club,linux,club	=	linux
club,military_cadets,club	=	cadetes militares
club,motorcycle,club	=	motocicleta
club,music,club	=	música
club,nudism,club	=	nudismo
club,sailing,club	=	navegación
club,scout,club	=	explorar
club,scuba_diving,club	=	submarinismo
club,social,club	=	social
club,sport,club	=	deporte
club,tourism,club	=	turismo
club,veterans,club	=	veteranos
club,youth,club	=	juventud
club,youth_movement,club	=	Movimiento juvenil
coastline,bogus,línea costera	=	falso
coastline:survey_quality,complete,litoral:calidad de levantamiento	=	completo
coastline:survey_quality,inadequate,litoral:calidad de levantamiento	=	inadecuado
collection_times,Mo-Fr 08:00,de_colección inferior=Mo-Fr 08:00
collection_times,Mo-Fr 09:00; Sa 07:00,tiempo_de colección=Mo-Fr 09:00; Sa 07:00
collection_times,Mo-Fr_08:00,tiempos_de_colección	=	lun-vie_08:00
collection_times,Mo-Fr_09:00;_Sa_07:00,tiempos_de_colección	=	lun-vie_09:00;_sáb_07:00
collection_times,Mo-Sa 09:00,tiempo_de colección=Mo-Sa 09:00
collection_times:signed,no,horarios de recogida:firmado	=	no
colour,#000000,color	=	*
colour,#ff0000,color	=	*
colour,black,color	=	negro
colour,blue,color	=	azul
colour,brown,color	=	marrón
colour,gray,color	=	gris
colour,green,color	=	verde
colour,grey,color	=	gris
colour,orange,color	=	naranja
colour,red,color	=	rojo
colour,silver,plata=de color
colour,white,color	=	blanco
colour,yellow,color	=	amarillo
colour:arrow,black,color:flecha	=	negro
colour:arrow,green,color:flecha	=	verde
colour:arrow,white,color:flecha	=	blanco
colour:back,blue,color:espalda	=	azul
colour:back,green,color:espalda	=	verde
colour:back,white,color:espalda	=	blanco
colour:back,yellow,color:espalda	=	amarillo
colour:text,black,color:texto	=	negro
colour:text,green,color:texto	=	verde
colour:text,white,color:texto	=	blanco
comment,*,comentario	=	*
comment,convertido a OSM usando http://GaleNUx.com,comentario=convertido un OSM usando http://galenux.com
comment,convertido_a_OSM_usando_http://GaleNUx.com,comentario	=	convertido_a_OSM_usando_http://GaleNUx.com
communication,line,comunicación	=	línea
communication,mobile_phone,comunicación	=	teléfono móvil
communication:radio,fm,comunicación:radio	=	FM
communication:television,dvb-t,comunicación:televisión	=	dvb-t
communication:television,dvb-t2,comunicación:televisión	=	dvb-t2
community_centre,club_home,centro Comunitario	=	casa club
community_centre,village_hall,sala_de=pueblo_de centro comunitaria
community_centre,youth_centre,centro Comunitario	=	Centro juvenil
company,aerospace,empresa	=	aeroespacial
company,construction,empresa	=	construcción
company,distribution,empresa	=	distribución
company,internet_shop,empresa	=	tienda virtual
company,it,empresa	=	eso
company,logistics,empresa	=	logística
company,robot,empresa	=	robot
company,software_development,empresa	=	desarrollo de software
company,transport,empresa	=	transporte
compensator,filter,compensador	=	filtrar
compensator,series_capacitor,compensador	=	condensador en serie
compensator,series_reactor,compensador	=	reactor en serie
compensator,shunt_capacitor,compensador	=	condensador de derivación
compensator,shunt_reactor,compensador	=	reactor de derivación
compensator,statcom,compensador	=	estadocom
compensator,static_var,compensador	=	variable estática
compensator,synchronous_condenser,compensador	=	condensador síncrono
compensator,voltage_regulator,compensador	=	regulador de voltaje
condition,deficient,condición	=	deficiente
condition,fair,condición	=	justa
condition,good,condición	=	bueno
constituency,Strategic Routes,constituency=edificio de
constituency,Strategic_Routes,distrito electoral	=	Rutas Estratégicas
construction,*,construcción	=	*
construction,apartments,construcción	=	apartamentos
construction,bridleway,construcción	=	camino de herradura
construction,building,construcción=de Rutas Estratégico
construction,byway,construcción	=	camino apartado
construction,cycleway,construcción	=	carril bici
construction,footway,construcción	=	senda
construction,house,construcción	=	casa
construction,light_rail,construcción	=	Tren Ligero
construction,living_street,construcción	=	calle viva
construction,minor,construcción	=	menor
construction,monorail,construcción	=	monocarril
construction,motorway,construcción	=	autopista
construction,motorway_link,construcción	=	enlace de autopista
construction,narrow_gauge,construcción	=	vía estrecha
construction,office,construcción	=	oficina
construction,path,construcción	=	camino
construction,pedestrian,construcción	=	peatonal
construction,preserved,construcción	=	Preservado
construction,primary,construcción	=	primario
construction,primary_link,construcción	=	enlace principal
construction,raceway,construcción	=	pista de rodadura
construction,rail,construcción	=	carril
construction,residential,construcción	=	Residencial
construction,road,construcción	=	la carretera
construction,secondary,construcción	=	secundario
construction,secondary_link,construcción	=	enlace secundario
construction,service,construcción	=	Servicio
construction,shed,construcción	=	cobertizo
construction,steps,construcción	=	pasos
construction,subway,construcción	=	subterraneo
construction,tertiary,construcción	=	terciario
construction,tertiary_link,construcción	=	enlace terciario
construction,track,construcción	=	pista
construction,tram,construcción	=	tranvía
construction,trunk,construcción	=	maletero
construction,trunk_link,construcción	=	enlace troncal
construction,unclassified,construcción	=	desclasificado
construction,unsurfaced,construcción	=	sin superficie
construction:electrified,contact_line,construcción: electrificado	=	línea_de_contacto
construction:power,plant,construcción: poder	=	planta
construction:railway,rail,construcción:ferrocarril	=	carril
construction:railway:etcs,2,construcción:ferrocarril:etc.	=	*
construction:voltage,25000,construcción:voltaje=25000
consulate,consular_agency,consulado	=	agencia consular
consulate,consular_office,consulado	=	oficina consular
consulate,consulate_general,consulado	=	consulado general
consulate,honorary_consul,consulado	=	cónsul honorario
consulate,residence,consulado	=	residencia
contact:facebook,https://www.facebook.com/ozon.ru,contacto:facebook=https://www.facebook.com/ozon.ru
contact:instagram,https://www.instagram.com/ozonru,contacto:instagram=https://www.instagram.com/ozonru
contact:phone,+7 495 2321000,Contacto:teléfono=+7 495 2321000
contact:phone,+7 800 5555505,contacto:teléfono=+7 800 5555505
contact:phone,+7 800 5555550,contacto:teléfono=+7 800 5555550
contact:phone,+7_800_2347000,teléfono de contacto	=	*
contact:twitter,https://twitter.com/Ozon_ru,contacto:twitter=https://twitter.com/ozon_ru
contact:vk,https://vk.com/ozon,contacto:vk=https://vk.com/ozon
contact:website,https://5ka.ru,contacto:sitio web=https://5ka.ru
contact:website,https://www.hellocycling.jp,contacto:sitio web=https://www.hellocycling.jp
contact:website,https://www.ozon.ru,contacto:sitio web=https://www.ozon.ru
contact:website,https://www.ozon.ru/,contacto:sitio web	=	https://www.ozon.ru/
content,beer,contenido	=	cerveza
content,crop,contenido	=	cultivo
content,drinking_water,contenido	=	agua potable
content,fuel,contenido	=	combustible
content,gas,contenido	=	gas
content,grain,contenido	=	grano
content,hot_water,contenido	=	agua caliente
content,LNG,contenido	=	GNL
content,LPG,contenido	=	GLP
content,manure,contenido	=	estiércol
content,natural_gas,contenido	=	gas natural
content,oil,contenido	=	aceite
content,salt,contenido	=	sal
content,sewage,contenido	=	aguas residuales
content,silage,contenido	=	ensilaje
content,slurry,contenido	=	estiércol líquido
content,wastewater,contenido	=	aguas residuales
content,water,contenido	=	agua
content,wine,contenido	=	vino
content,zement,contenido	=	zemento
converted_by,Track2osm,convertido_por	=	seguimiento2osm
conveying,forward,transmitiendo=país
cooling:method,air_cooling,método de enfriamiento	=	aire acondicionado
cooling:method,dry_cooling,método de enfriamiento	=	refrigeración en seco
cooling:method,mechanical_draft,método de enfriamiento	=	tiro mecánico
country,US,de delantero=EE.UU.
couplings,1,acoplamientos	=	*
couplings,2,acoplamientos	=	*
couplings,3,acoplamientos	=	*
couplings:type,Storz,acoplamientos:tipo	=	Storz
covered,arcade,cubierto	=	arcada
covered,booth,cubierto	=	puesto
covered,colonnade,cubierto	=	columnata
covered,no,cubierto	=	no
craft,agricultural_engines,artesanía	=	motores_agrícolas
craft,atelier,artesanía	=	taller
craft,bag_repair,artesanía	=	reparación de bolsas
craft,bakery,artesanía	=	panadería
craft,basket_maker,artesanía	=	canasta de mercado
craft,beekeeper,artesanía	=	apicultor
craft,blacksmith,artesanía	=	herrero
craft,boatbuilder,artesanía	=	constructor de botes
craft,bookbinder,artesanía	=	encuadernador
craft,brewery,artesanía	=	cervecería
craft,builder,artesanía	=	constructor
craft,cabinet_maker,artesanía	=	ebanista
craft,car_painter,artesanía	=	pintor de coches
craft,car_repair,artesanía	=	reparación de autos
craft,carpenter,artesanía	=	carpintero
craft,carpet_cleaner,artesanía	=	limpiador de alfombra
craft,carpet_layer,artesanía	=	capa de alfombra
craft,caterer,artesanía	=	catering
craft,cheese,artesanía	=	queso
craft,chimney_sweeper,artesanía	=	deshollinador
craft,cleaning,artesanía	=	limpieza
craft,clockmaker,artesanía	=	relojero
craft,confectionery,artesanía	=	confitería
craft,cooper,artesanía	=	cobre
craft,dental_technician,artesanía	=	técnico dental
craft,distillery,artesanía	=	destilería
craft,door_construction,artesanía	=	construcción de puertas
craft,dressmaker,artesanía	=	modista
craft,electrican,artesanía	=	electricista
craft,electrician,artesanía	=	electricista
craft,electronics_repair,artesanía	=	reparación_electrónica
craft,embroiderer,artesanía	=	bordadora
craft,engraver,artesanía	=	grabador
craft,floorer,artesanía	=	limpiador de piso
craft,gardener,artesanía	=	jardinero
craft,glassblower,artesanía	=	soplador de vidrio
craft,glaziery,artesanía	=	cristal
craft,goldsmith,artesanía	=	orfebre
craft,grinding_mill,artesanía	=	molino_de_molienda
craft,handicraft,artesanía	=	artesanía
craft,hvac,artesanía	=	climatización
craft,information_electronics,artesanía	=	electronica de informacion
craft,insulation,artesanía	=	aislamiento
craft,interior_decorator,artesanía	=	decorador de interiores
craft,interior_work,artesanía	=	trabajo interior
craft,jeweller,artesanía	=	joyero
craft,joiner,artesanía	=	carpintero
craft,key_cutter,artesanía	=	cortador_de_llaves
craft,lacquerer,artesanía	=	lacador
craft,lapidary,artesanía	=	lapidario
craft,leather,artesanía	=	cuero
craft,locksmith,artesanía	=	cerrajero
craft,luthier,artesanía	=	luthier
craft,metal_construction,artesanía	=	construcción de metal
craft,mint,artesanía	=	menta
craft,musical_instrument,artesanía	=	instrumento musical
craft,oil_mill,artesanía	=	almazara
craft,optician,artesanía	=	óptico
craft,organ_builder,artesanía	=	constructor de órganos
craft,painter,artesanía	=	pintor
craft,paperhanger,artesanía	=	empapelador
craft,parquet_layer,artesanía	=	capa de parquet
craft,paver,artesanía	=	adoquín
craft,photographer,artesanía	=	fotógrafo
craft,photographic_laboratory,artesanía	=	laboratorio_fotografico
craft,piano_tuner,artesanía	=	afinador de piano
craft,plasterer,artesanía	=	yesero
craft,plumber,artesanía	=	fontanero
craft,pottery,artesanía	=	cerámica
craft,print_shop,artesanía	=	tienda de impresión
craft,printer,artesanía	=	impresora
craft,printmaker,artesanía	=	grabador
craft,restoration,artesanía	=	restauracion
craft,rigger,artesanía	=	aparejador
craft,roofer,artesanía	=	techador
craft,saddler,artesanía	=	talabartero
craft,sailmaker,artesanía	=	velero
craft,sawmill,artesanía	=	aserradero
craft,scaffolder,artesanía	=	andamio
craft,sculptor,artesanía	=	escultor
craft,sewing,artesanía	=	de coser
craft,shoemaker,artesanía	=	zapatero
craft,signmaker,artesanía	=	fabricante de la muestra
craft,stand_builder,artesanía	=	constructor de puestos
craft,stonemason,artesanía	=	albañil
craft,stove_fitter,artesanía	=	montador de estufas
craft,sun_protection,artesanía	=	proteccion solar
craft,sweep,artesanía	=	barrer
craft,tailor,artesanía	=	Sastre
craft,tiler,artesanía	=	solador
craft,tinsmith,artesanía	=	hojalatero
craft,toolmaker,artesanía	=	fabricante de herramientas
craft,turner,artesanía	=	tornero
craft,upholsterer,artesanía	=	tapicero
craft,watchmaker,artesanía	=	relojero
craft,water_well_drilling,artesanía	=	perforación de pozos de agua
craft,weaver,artesanía	=	tejedor
craft,welder,artesanía	=	soldador
craft,window_construction,artesanía	=	ventana_construccion
craft,winery,artesanía	=	lagar
crane:type,floor-mounted_crane,grua:tipo	=	grúa montada en el piso
crane:type,gantry_crane,grua:tipo	=	grúa pórtico
crane:type,portal_crane,grua:tipo	=	grúa portal
crane:type,tower_crane,grua:tipo	=	grúa torre
crane:type,travel_lift,grua:tipo	=	ascensor de viaje
created_by,*,creado por	=	*
created_by,ArcGIS_Exporter,creado por	=	ArcGIS_Exportador
created_by,JOSM,creado por	=	JOSM
created_by,Merkaartor_0.11,creado por	=	Merkaartor 0.11
created_by,Osmose_Editor,creado por	=	Editor de ósmosis
created_by,Potlatch_0.10b,creado por	=	Potlatch 0.10b
created_by,Potlatch_0.9c,creado por	=	Potlatch 0.9c
created_by,shpupload,crearon_por=shpupload
crop,asparagus,cultivo	=	espárragos
crop,aspargus,cultivo	=	espárragos
crop,bananas,cultivo	=	plátanos
crop,barley,cultivo	=	cebada
crop,cana-de-açúcar,cultivo	=	cana-de-açúcar
crop,cassava,cultivo	=	mandioca
crop,cereal,cultivo	=	cereal
crop,coffee,cultivo	=	café
crop,corn,cultivo	=	maíz
crop,cranberries,cultivo	=	arándanos
crop,fast_growing_wood,cultivo	=	madera_de_crecimiento_rápido
crop,field_cropland,cultivo	=	campo_tierra_de_cultivo
crop,flowers,cultivo	=	flores
crop,forage,cultivo	=	forraje
crop,grape,cultivo	=	uva
crop,grass,cultivo	=	césped
crop,hay,cultivo	=	heno
crop,hop,cultivo	=	saltar
crop,maize,cultivo	=	maíz
crop,market_gardening,cultivo	=	mercado_jardineria
crop,native_pasture,cultivo	=	pasto_nativo
crop,no,cultivo	=	no
crop,oats,cultivo	=	avena
crop,rape,cultivo	=	violación
crop,rice,cultivo	=	arroz
crop,rye,cultivo	=	centeno
crop,short_rotation_forestry,cultivo	=	silvicultura de ciclo corto
crop,soy,cultivo	=	soja
crop,strawberry,cultivo	=	fresa
crop,sugar,cultivo	=	azúcar
crop,sugarcane,cultivo	=	Caña de azúcar
crop,sunflower,cultivo	=	girasol
crop,tea,cultivo	=	té
crop,vegetable,cultivo	=	vegetal
crop,vegetables,cultivo	=	vegetales
crop,wheat,cultivo	=	trigo
crop,WINE_GRAPES,cultivo	=	VINO_UVAS
crossing,informal,cruzando=cruce
crossing,island,cruce	=	isla
crossing,marked,cruce	=	marcado
crossing,no,cruce	=	no
crossing,traffic_signals,cruce	=	Señales de tráfico
crossing,uncontrolled,cruce	=	sin control
crossing,unknown,cruce	=	desconocido
crossing,unmarked,cruce	=	no notificado
crossing,zebra,cruce	=	cebra
crossing_ref,delineated,referencia de cruce	=	delineado
crossing_ref,pelican,cruce_ref	=	pelícano
crossing_ref,toucan,cruce_ref	=	tucán
crossing_ref,zebra,cruce_ref	=	cebra
crossing:activation,automatic,cruce: activación	=	automático
crossing:barrier,double_half,informal:la barrera=pliega_cruce
crossing:barrier,full,cruce:barrera	=	completo
crossing:barrier,half,cruce:barrera	=	mitad
crossing:barrier,no,cruce:barrera	=	no
crossing:bell,no,cruce:campana	=	no
crossing:island,no,cruce: isla	=	no
crossing:light,no,cruce: luz	=	no
crossing:markings,dashes,medio:markings=dashes
crossing:markings,dots,cruce:markings=los puntos
crossing:markings,ladder,que cruzan:markings=ladder
crossing:markings,ladder:skewed,cruce:markings=ladder:cruce
crossing:markings,lines,sesgado:markings=tacha
crossing:markings,no,cruzar:markings=ningún
crossing:markings,surface,cruce:markings=cruce
crossing:markings,zebra,cruce:marcas	=	cebra
crossing:markings,zebra:bicolour,de superficie:markings=cebra:bicolour
crossing:markings,zebra:paired,cruce:markings=cebra:paired
crossing:markings:colour,yellow,cruce:markings:color=cruce
crossing:signals,no,amarillo:señales=ningún
crown_type,i,tipo_de corona=i
cuisine,african,cocina	=	africano
cuisine,american,cocina	=	americano
cuisine,arab,cocina	=	árabe
cuisine,asian,cocina	=	asiático
cuisine,bagel,cocina	=	rosquilla
cuisine,barbecue,cocina	=	parilla
cuisine,beef_bowl,cocina	=	tazón de carne
cuisine,brazilian,cocina	=	brasileño
cuisine,breakfast,cocina	=	desayuno
cuisine,breakfast;pancake,cocina	=	desayuno; panqueque
cuisine,brunch,cocina	=	desalmuerzo
cuisine,bubble_tea,cocina	=	Té de burbujas
cuisine,burger,cocina	=	hamburguesa
cuisine,cake,cocina	=	pastel
cuisine,caribbean,cocina	=	caribe
cuisine,catalan,cocina	=	catalán
cuisine,chicken,cocina	=	pollo
cuisine,chinese,cocina	=	chino
cuisine,churro,cocina=churros ( churrería )
cuisine,coffee_shop,cocina	=	cafetería
cuisine,couscous,cocina	=	cuscús
cuisine,crepe,cocina	=	crepe
cuisine,curry,cocina	=	curry
cuisine,dessert,cocina	=	postre
cuisine,donut,cocina	=	rosquilla
cuisine,donut;coffee_shop,cocina	=	donut;cafetería
cuisine,dumpling,cocina	=	bola de masa hervida
cuisine,dumplings,cocina	=	albóndigas
cuisine,empanada,cocina	=	empanada
cuisine,filipino,cocina	=	filipino
cuisine,fish,cocina	=	pez
cuisine,fish_and_chips,cocina	=	pescado y papas fritas
cuisine,french,cocina	=	francés
cuisine,friture,cocina	=	fritura
cuisine,georgian,cocina	=	georgiano
cuisine,german,cocina	=	alemán
cuisine,greek,cocina	=	griego
cuisine,grill,cocina	=	parrilla
cuisine,gyros,cocina = gyros (comiga griega)
cuisine,hot_dog,cocina	=	Pancho
cuisine,hot_pot,cocina	=	olla caliente
cuisine,hotpot,cocina	=	estofado
cuisine,ice_cream,cocina	=	helado
cuisine,ice_cream;burger,cocina	=	helado;hamburguesa
cuisine,indian,cocina	=	indio
cuisine,indonesian,cocina	=	indonesio
cuisine,international,cocina	=	internacional
cuisine,italian,cocina	=	italiano
cuisine,italian_pizza,cocina	=	pizza_italiana
cuisine,italian;pizza,cocina	=	italiano;pizza
cuisine,japanese,cocina	=	japonés
cuisine,jause,cocina	=	jause
cuisine,juice,cocina	=	jugo
cuisine,kebab,cocina	=	brocheta
cuisine,kebab;pizza,cocina	=	kebab;pizza
cuisine,korean,cocina	=	coreano
cuisine,lebanese,cocina	=	libanés
cuisine,local,cocina	=	local
cuisine,malaysian,cocina	=	malasio
cuisine,mediterranean,cocina	=	Mediterráneo
cuisine,mexican,cocina	=	mexicano
cuisine,noodle,cocina	=	fideos
cuisine,pakistani,cocina	=	pakistaní
cuisine,pancake,cocina	=	tortita
cuisine,pasta,cocina	=	pasta
cuisine,pastry,cocina	=	Pastelería
cuisine,peruvian,cocina	=	peruano
cuisine,pie,cocina	=	tarta
cuisine,pizza,cocina	=	pizza
cuisine,pizza;italian,cocina	=	pizza;italiana
cuisine,pizza;kebab,cocina	=	pizza; kebab
cuisine,polish,cocina	=	polaco
cuisine,portuguese,cocina	=	portugués
cuisine,ramen,cocina	=	ramen
cuisine,regional,cocina	=	regional
cuisine,russian,cocina	=	ruso
cuisine,sandwich,cocina	=	emparedado
cuisine,sandwich;bakery,cocina	=	sándwich; panadería
cuisine,seafood,cocina	=	mariscos
cuisine,soup,cocina	=	sopa
cuisine,spanish,cocina	=	Español
cuisine,steak_house,cocina	=	asador
cuisine,strudel,cocina	=	strudel
cuisine,sushi,cocina	=	Sushi
cuisine,tapas,cocina	=	tapas
cuisine,tea_house,cocina	=	casa de te
cuisine,tea_shop,cocina	=	tienda de té
cuisine,teahouse,cocina	=	casa de te
cuisine,tex-mex,cocina	=	de Texas y Mexico
cuisine,thai,cocina	=	tailandés
cuisine,turkish,cocina	=	turco
cuisine,vietnamese,cocina	=	vietnamita
cuisine,waffle,cocina	=	gofre
cuisine,wings,cocina	=	alas
culvert,inverted_siphon,alcantarilla	=	sifón invertido
curve,hairpin,curva	=	horquilla
curve,loop,curva	=	círculo
curves,extended,curvas	=	extendido
curves,serpentine,curvas	=	serpentina
cutline,firebreak,cutline=firebreak
cutline,section,línea de corte	=	sección
cyclability,*,ciclabilidad	=	*
cycle_barrier,double,barrera_de ciclo=barrera
cycle_barrier:installation,fixed,de_ciclo doble:la instalación=fija
cycle_network,BE-VLG:cycle_highway,red de bicicletas	=	BE-VLG:carretera ciclista
cycle_network,cycle_highway,red de bicicletas	=	ciclovía
cycle_network,EuroVelo,red de bicicletas	=	EuroVelo
cycle_network,US,red de bicicletas	=	NOSOTROS
cycle_network,US:CA:SF,red de bicicletas	=	EE. UU.: CA: SF
cycle_network,US:GA,red de bicicletas	=	EE. UU.: Georgia
cycle_network,US:LA:NO,red de bicicletas	=	EE. UU.: LA: NO
cycle_network,US:NC,red de bicicletas	=	EE. UU.: Carolina del Norte
cycle_network,US:NM,red de bicicletas	=	EE. UU.: NM
cycle_network,US:NY,red de bicicletas	=	EE. UU.: Nueva York
cycle_network,US:OH,red de bicicletas	=	EE. UU.: OH
cycle_network,US:PA,red de bicicletas	=	EE. UU.: Pensilvania
