key,value,definition
road_marking,no,=
road_marking,yes,=
service:bicycle:tools,yes,servei:bicicleta:eines=sí
service:vehicle:car_repair,yes,servei:vehicle:reparació_automobilística=sí
shower,yes,xàfec=sí
sidewalk:both,no,vorera:tant=no
sidewalk:both,yes,vorera:tant=sí
sidewalk:left,yes,vorera:va deixar=sí
sidewalk:right,yes,vorera:dret=sí
stairs,yes,escala=sí
stilts,yes,stilts=sí
takeaway,no,takeaway=no
toilets:handwashing,yes,lavabo:handwashing=sí
tourist_bus,no,autobús_turístic=#cap
traffic_signals:countdown,yes,senyals_de tràfic:compte enrere=sí
trailblazed,no,trailblazed=no
trolley_wire,no,núm._de=cable del carretó
